Session,stimuli_type,att_type,stimuli_time,Condition,y,subj_id
1,1,1,500,1,0.118306600815669,41
2,1,1,500,2,0.179879367308951,41
1,2,1,500,3,0.0758848185184465,41
2,2,1,500,4,0.185531306673951,41
1,1,2,500,5,0.0952164634568394,41
2,1,2,500,6,0.10743881272069,41
1,2,2,500,7,0.0161450720361691,41
2,2,2,500,8,0.0960899160419779,41
1,1,3,500,9,0.170933186857716,41
2,1,3,500,10,0.18090225409396,41
1,2,3,500,11,0.0737020280409662,41
2,2,3,500,12,0.143557154317399,41
1,1,1,600,1,0.176997870730804,41
2,1,1,600,2,0.261873037915566,41
1,2,1,600,3,0.122567827712026,41
2,2,1,600,4,0.276292329476297,41
1,1,2,600,5,0.174689091379083,41
2,1,2,600,6,0.19972821792678,41
1,2,2,600,7,0.0684401745156209,41
2,2,2,600,8,0.179217129381693,41
1,1,3,600,9,0.253249500715593,41
2,1,3,600,10,0.266718896228099,41
1,2,3,600,11,0.134539676515247,41
2,2,3,600,12,0.210444374147229,41
1,1,1,700,1,0.258718742457377,41
2,1,1,700,2,0.363381579488466,41
1,2,1,700,3,0.19878461613152,41
2,2,1,700,4,0.389087629666015,41
1,1,2,700,5,0.280429193586629,41
2,1,2,700,6,0.317261176840039,41
1,2,2,700,7,0.156014771915494,41
2,2,2,700,8,0.290990119389758,41
1,1,3,700,9,0.358999062809361,41
2,1,3,700,10,0.374839192869935,41
1,2,3,700,11,0.227090831891737,41
2,2,3,700,12,0.303115314201991,41
1,1,1,800,1,0.358091690502153,41
2,1,1,800,2,0.476451801742423,41
1,2,1,800,3,0.300024532209015,41
2,2,1,800,4,0.514898441796511,41
1,1,2,800,5,0.404672238047728,41
2,1,2,800,6,0.450601824572503,41
1,2,2,800,7,0.273398830032973,41
2,2,2,800,8,0.422585673966794,41
1,1,3,800,9,0.480192719285666,41
2,1,3,800,10,0.496724449600408,41
1,2,3,800,11,0.345221749716429,41
2,2,3,800,12,0.414652166645007,41
1,1,1,900,1,0.467687934850399,41
2,1,1,900,2,0.591742069315239,41
1,2,1,900,3,0.418466244495443,41
2,2,1,900,4,0.642810027535601,41
1,1,2,900,5,0.537263076886447,41
2,1,2,900,6,0.588183643258959,41
1,2,2,900,7,0.411003262594871,41
2,2,2,900,8,0.562289395233812,41
1,1,3,900,9,0.606683306658867,41
2,1,3,900,10,0.621873088046272,41
1,2,3,900,11,0.479211914598263,41
2,2,3,900,12,0.535449066312741,41
1,1,1,1000,1,0.578967391978134,41
2,1,1,1000,2,0.69984063422589,41
1,2,1,1000,3,0.543962832233127,41
2,2,1,1000,4,0.76156940131163,41
1,1,2,1000,5,0.667039950226271,41
2,1,2,1000,6,0.717981073729387,41
1,2,2,1000,7,0.556386885363811,41
2,2,2,1000,8,0.69718961255118,41
1,1,3,1000,9,0.727565485839326,41
2,1,3,1000,10,0.739310386046358,41
1,2,3,1000,11,0.617051294569614,41
2,2,3,1000,12,0.654558805668425,41
1,1,1,1100,1,0.68338276541129,41
2,1,1,1100,2,0.792559845195324,41
1,2,1,1100,3,0.665465930752943,41
2,2,1,1100,4,0.861215069772142,41
1,1,2,1100,5,0.783386647233739,41
2,1,2,1100,6,0.829252836981221,41
1,2,2,1100,7,0.696081905303841,41
2,2,2,1100,8,0.815118590802822,41
1,1,3,1100,9,0.832720514193054,41
2,1,3,1100,10,0.839171333402773,41
1,2,3,1100,11,0.746191841815519,41
2,2,3,1100,12,0.761309023733392,41
1,1,1,1200,1,0.773448725912665,41
2,1,1,1200,2,0.863955093597924,41
1,2,1,1200,3,0.772613578776415,41
2,2,1,1200,4,0.934452530652423,41
1,1,2,1200,5,0.877653386749155,41
2,1,2,1200,6,0.914005679056997,41
1,2,2,1200,7,0.817611524569618,41
2,2,2,1200,8,0.906441302528327,41
1,1,3,1200,9,0.914203852122489,41
2,1,3,1200,10,0.914061317783532,41
1,2,3,1200,11,0.855403213299453,41
2,2,3,1200,12,0.846860767704759,41
1,1,1,1300,1,0.843593909351399,41
2,1,1,1300,2,0.910893721239679,41
1,2,1,1300,3,0.85716845590141,41
2,2,1,1300,4,0.977512982024344,41
1,1,2,1300,5,0.944185324243405,41
2,1,2,1300,6,0.967902823787857,41
1,2,2,1300,7,0.911287419327138,41
2,2,2,1300,8,0.965331162061764,41
1,1,3,1300,9,0.967213830663774,41
2,1,3,1300,10,0.959935888584412,41
1,2,3,1300,11,0.936357205058937,41
2,2,3,1300,12,0.905397354574055,41
1,1,1,1400,1,0.890668910756812,41
2,1,1,1400,2,0.933113353113573,41
1,2,1,1400,3,0.914033258237107,41
2,2,1,1400,4,0.990359994793238,41
1,1,2,1400,5,0.980796342708158,41
2,1,2,1400,6,0.990482863165648,41
1,2,2,1400,7,0.971434821577016,41
2,2,2,1400,8,0.990302901708795,41
1,1,3,1400,9,0.990482295666854,41
2,1,3,1400,10,0.976359647601224,41
1,2,3,1400,11,0.984635572042767,41
2,2,3,1400,12,0.9347252500593,41
1,1,1,1500,1,0.914060648413865,41
2,1,1,1500,2,0.932826327407354,41
1,2,1,1500,3,0.94167532978862,41
2,2,1,1500,4,0.976261936964851,41
1,1,2,1500,5,0.988655075436552,41
2,1,2,1500,6,0.984718856532789,41
1,2,2,1500,7,0.996839375165114,41
2,2,2,1500,8,0.983955204389717,41
1,1,3,1500,9,0.986062806576933,41
2,1,3,1500,10,0.966150006328601,41
1,2,3,1500,11,1,41
2,2,3,1500,12,0.936212707043642,41
1,1,1,1600,1,0.915441855584652,41
2,1,1,1600,2,0.914014760353086,41
1,2,1,1600,3,0.941931964254553,41
2,2,1,1600,4,0.940883411691489,41
1,1,2,1600,5,0.971673883879569,41
2,1,2,1600,6,0.956087206217227,41
1,2,2,1600,7,0.990398223708594,41
2,2,2,1600,8,0.952056064504879,41
1,1,3,1600,9,0.958620887027649,41
2,1,3,1600,10,0.934543015574476,41
1,2,3,1600,11,0.985937875115527,41
2,2,3,1600,12,0.91414387452391,41
1,1,1,400,1,0.0499268594276479,42
2,1,1,400,2,0.105833118276257,42
1,2,1,400,3,0.105869006149662,42
2,2,1,400,4,0.0269428360698739,42
1,1,2,400,5,0.0268923066928291,42
2,1,2,400,6,0.0766111637295457,42
1,2,2,400,7,0.0267590001688042,42
2,2,2,400,8,0,42
1,1,3,400,9,0.034654131410436,42
2,1,3,400,10,0.105829047136339,42
1,2,3,400,11,0.0269164176234869,42
2,2,3,400,12,0.103519524500797,42
1,1,1,500,1,0.119799872066061,42
2,1,1,500,2,0.197982928944539,42
1,2,1,500,3,0.189496363645285,42
2,2,1,500,4,0.0898298411210243,42
1,1,2,500,5,0.0955074901727862,42
2,1,2,500,6,0.169283906077123,42
1,2,2,500,7,0.095624965528373,42
2,2,2,500,8,0.0608547713309717,42
1,1,3,500,9,0.0839163715370403,42
2,1,3,500,10,0.172242822342323,42
1,2,3,500,11,0.0602969188953018,42
2,2,3,500,12,0.154699157962278,42
1,1,1,600,1,0.219074559088609,42
2,1,1,600,2,0.316030785431218,42
1,2,1,600,3,0.300416339791521,42
2,2,1,600,4,0.184742808750367,42
1,1,2,600,5,0.196578628093922,42
2,1,2,600,6,0.290467798338187,42
1,2,2,600,7,0.196816038476545,42
2,2,2,600,8,0.156641267693186,42
1,1,3,600,9,0.164772898985205,42
2,1,3,600,10,0.265470346414874,42
1,2,3,600,11,0.124442589943795,42
2,2,3,600,12,0.235657178579727,42
1,1,1,700,1,0.340565423357689,42
2,1,1,700,2,0.45051912242559,42
1,2,1,700,3,0.430086172781945,42
2,2,1,700,4,0.305238811026223,42
1,1,2,700,5,0.322920105675201,42
2,1,2,700,6,0.430424538328288,42
1,2,2,700,7,0.323120757010004,42
2,2,2,700,8,0.280916907088825,42
1,1,3,700,9,0.272451452080657,42
2,1,3,700,10,0.378959173677759,42
1,2,3,700,11,0.216075840437225,42
2,2,3,700,12,0.341526505703605,42
1,1,1,800,1,0.473996455098427,42
2,1,1,800,2,0.58958391791338,42
1,2,1,800,3,0.567181806345279,42
2,2,1,800,4,0.441278007359977,42
1,1,2,800,5,0.463744087434153,42
2,1,2,800,6,0.576583140368141,42
1,2,2,800,7,0.463765856374894,42
2,2,2,800,8,0.423154171996515,42
1,1,3,800,9,0.398568200524838,42
2,1,3,800,10,0.503327983690918,42
1,2,3,800,11,0.328371959650586,42
2,2,3,800,12,0.463928243783356,42
1,1,1,900,1,0.607448360429792,42
2,1,1,900,2,0.720704065086401,42
1,2,1,900,3,0.699226620214276,42
2,2,1,900,4,0.58059893608648,42
1,1,2,900,5,0.606182486936692,42
2,1,2,900,6,0.715400426095962,42
1,2,2,900,7,0.605938751925654,42
2,2,2,900,8,0.570195105851521,42
1,1,3,900,9,0.532214418930863,42
2,1,3,900,10,0.62766267120008,42
1,2,3,900,11,0.451821805807841,42
2,2,3,900,12,0.592065769542168,42
1,1,1,1000,1,0.729135285774287,42
2,1,1,1000,2,0.832597707616942,42
1,2,1,1000,3,0.814471501585291,42
2,2,1,1000,4,0.710545889822422,42
1,1,2,1000,5,0.737235297145935,42
2,1,2,1000,6,0.834445860824662,42
1,2,2,1000,7,0.736724393792464,42
2,2,2,1000,8,0.708249704619212,42
1,1,3,1000,9,0.661531922653448,42
2,1,3,1000,10,0.741120939816124,42
1,2,3,1000,11,0.575593274850712,42
2,2,3,1000,12,0.714304950630272,42
1,1,1,1100,1,0.829142605283058,42
2,1,1,1100,2,0.916865082426441,42
1,2,1,1100,3,0.903634310103102,42
2,2,1,1100,4,0.819971818623834,42
1,1,2,1100,5,0.845736896195459,42
2,1,2,1100,6,0.924266950016514,42
1,2,2,1100,7,0.845050581493962,42
2,2,2,1100,8,0.825020600520018,42
1,1,3,1100,9,0.775459640934329,42
2,1,3,1100,10,0.834516199963356,42
1,2,3,1100,11,0.689116462141672,42
2,2,3,1100,12,0.819919307806672,42
1,1,1,1200,1,0.900768090697606,42
2,1,1,1200,2,0.969040534588586,42
1,2,1,1200,3,0.96114020916717,42
2,2,1,1200,4,0.900820152979282,42
1,1,2,1200,5,0.923927706411057,42
2,1,2,1200,6,0.979643956533364,42
1,2,2,1200,7,0.923234948565523,42
2,2,2,1200,8,0.911502865771436,42
1,1,3,1200,9,0.865293493537277,42
2,1,3,1200,10,0.901556789468465,42
1,2,3,1200,11,0.783568516881673,42
2,2,3,1200,12,0.900637499192526,42
1,1,1,1300,1,0.941213566205874,42
2,1,1,1300,2,0.988868544247159,42
1,2,1,1300,3,0.985631953539649,42
2,2,1,1300,4,0.949073896555834,42
1,1,2,1300,5,0.968324412728845,42
2,1,2,1300,6,1,42
1,2,2,1300,7,0.967834157254492,42
2,2,2,1300,8,0.963095383047636,42
1,1,3,1300,9,0.925755001161366,42
2,1,3,1300,10,0.939506609556995,42
1,2,3,1300,11,0.852970002024371,42
2,2,3,1300,12,0.951684802380061,42
1,1,1,1400,1,0.951539945730248,42
2,1,1,1400,2,0.979812940570207,42
1,2,1,1400,3,0.979701818198778,42
2,2,1,1400,4,0.964923525809525,42
1,1,2,1400,5,0.979763998148331,42
2,1,2,1400,6,0.988946144838435,42
1,2,2,1400,7,0.979676890526516,42
2,2,2,1400,8,0.979840931080856,42
1,1,3,1400,9,0.955392918431946,42
2,1,3,1400,10,0.949180055151432,42
1,2,3,1400,11,0.894711342740312,42
2,2,3,1400,12,0.972142484403603,42
